Comment,Designator,Footprint,Part #,,,,,,,,,,,,,,,
5015,TP7,KEYSTONE_5015,5015,,,,,,,,,,,,,,,
5015,TP8,KEYSTONE_5015,5015,,,,,,,,,,,,,,,
5015,TP9,KEYSTONE_5015,5015,,,,,,,,,,,,,,,
5015,TP10,KEYSTONE_5015,5015,,,,,,,,,,,,,,,
5015,TP13,KEYSTONE_5015,5015,,,,,,,,,,,,,,,
5015,TP14,KEYSTONE_5015,5015,,,,,,,,,,,,,,,
5015,TP15,KEYSTONE_5015,5015,,,,,,,,,,,,,,,
5015,TP16,KEYSTONE_5015,5015,,,,,,,,,,,,,,,
5015,TP17,KEYSTONE_5015,5015,,,,,,,,,,,,,,,
5015,TP18,KEYSTONE_5015,5015,,,,,,,,,,,,,,,
5015,TP19,KEYSTONE_5015,5015,,,,,,,,,,,,,,,
TL082,U1,SOIC127P600X175-8N,TL082,,,,,,,,,,,,,,,
AD5241BRZ1M,U2,SOIC127P600X175-14N,AD5241BRZ1M,,,,,,,,,,,,,,,
AD5241BRZ100,U3,SOIC127P600X175-14N,AD5241BRZ100,,,,,,,,,,,,,,,
AD5258BRMZ1-R7,U4,SOP50P490X110-10N,AD5258BRMZ1-R7,,,,,,,,,,,,,,,
AD5241BRZ1M,U5,SOIC127P600X175-14N,AD5241BRZ1M,,,,,,,,,,,,,,,
TS5A3359DCUT,U9,SOP50P310X90-8N,TS5A3359DCUT,,,,,,,,,,,,,,,
TS5A3359DCUT,U10,SOP50P310X90-8N,TS5A3359DCUT,,,,,,,,,,,,,,,
TS5A3359DCUT,U11,SOP50P310X90-8N,TS5A3359DCUT,,,,,,,,,,,,,,,
TS5A3359DCUT,U12,SOP50P310X90-8N,TS5A3359DCUT,,,,,,,,,,,,,,,
TS5A3359DCUT,U13,SOP50P310X90-8N,TS5A3359DCUT,,,,,,,,,,,,,,,
TS5A3359DCUT,U14,SOP50P310X90-8N,TS5A3359DCUT,,,,,,,,,,,,,,,
